new_rank,new_score,original_score,exp,prediction,new_scores,new_ranks,original_rank,facts,exp_length
12530.0,5.9464080550242215e-05,0.8879063725471497,"[(29649, 1, 11590)]","(11590, 1, 29649)",[5.9464080550242215e-05],[12530],1,"[({(29649, 1, 11590)}, 0.8727078322713437, 'baseline'), ({(29649, 1, 11590)}, 0.7132839417292659, 'baseline'), ({(29649, 1, 11590)}, 0.6197888098543672, 'baseline'), ({(29649, 1, 11590)}, 0.6197634182784565, 'baseline'), ({(29649, 1, 11590)}, 0.5689852074908125, 'baseline'), ({(29649, 1, 11590)}, 0.37964169355301985, 'baseline'), ({(29649, 1, 11590)}, 0.22901944395759968, 'baseline')]",1
16720.0,3.6833345802733675e-05,0.9558466672897339,"[(15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (15527, 1, 16314), (6422, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]","(15028, 1, 16314)",[3.6833345802733675e-05],[16720],1,"[({(16314, 1, 15028), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.3599785383251425, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701)}, 0.32432017854581185, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.3056937865445801, 'baseline'), ({(16314, 1, 15028), (21701, 1, 15028), (15028, 1, 6422)}, 0.24699554929122616, 'baseline'), ({(16314, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.21734867568581612, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701)}, 0.14052401031973646, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422)}, 0.04255340527739845, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422)}, 0.03723559806351931, 'baseline'), ({(15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, -0.0013482766408803265, 'baseline'), ({(15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, -0.0036334591265921377, 'baseline')]",10
54.0,0.001860300311818719,0.8736011981964111,"[(2449, 1, 11955), (2449, 1, 6944), (3377, 1, 2449), (11955, 1, 6572), (3377, 1, 6572), (6944, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)]","(6572, 1, 6944)",[0.001860300311818719],[54],1,"[({(6944, 1, 6572), (3377, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)}, 0.7971071471936954, 'baseline'), ({(6944, 1, 6572), (3377, 1, 6572), (6572, 1, 3377)}, 0.7950193156238553, 'baseline'), ({(6944, 1, 6572), (6572, 1, 11955), (6572, 1, 3377), (11955, 1, 6572)}, 0.6673305480954771, 'baseline'), ({(6944, 1, 6572)}, 0.5893383462077644, 'baseline'), ({(6944, 1, 6572), (6572, 1, 3377)}, 0.5755211548773649, 'baseline'), ({(6944, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)}, 0.5490080549317625, 'baseline'), ({(6944, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)}, 0.3121430091351421, 'baseline'), ({(6572, 1, 3377), (6572, 1, 11955)}, 0.09458259778199278, 'baseline'), ({(6572, 1, 3377), (6572, 1, 11955)}, 0.025547365598998107, 'baseline'), ({(6572, 1, 3377), (6572, 1, 11955)}, -0.04559411573938625, 'baseline')]",8
169.0,0.0024641952477395535,0.8004068732261658,"[(19504, 1, 21993)]","(21993, 1, 19504)",[0.0024641952477395535],[169],1,"[({(19504, 1, 21993)}, 0.6247727119215242, 'baseline'), ({(19504, 1, 21993)}, 0.5855524975117118, 'baseline'), ({(19504, 1, 21993)}, 0.5127374360634168, 'baseline'), ({(19504, 1, 21993)}, 0.4730641966629814, 'baseline'), ({(19504, 1, 21993)}, 0.4317216398008779, 'baseline'), ({(19504, 1, 21993)}, 0.4180854380914689, 'baseline'), ({(19504, 1, 21993)}, 0.4041559814596411, 'baseline'), ({(19504, 1, 21993)}, 0.3519471700201815, 'baseline'), ({(19504, 1, 21993)}, 0.3330908828683204, 'baseline')]",1
2503.0,0.00017683750775177032,0.8398572206497192,"[(13829, 1, 4185)]","(4185, 1, 13829)",[0.00017683750775177032],[2503],1,"[({(13829, 1, 4185)}, 0.9498223563638531, 'baseline'), ({(13829, 1, 4185)}, 0.8830779081837576, 'baseline'), ({(13829, 1, 4185)}, 0.8458592175599319, 'baseline'), ({(13829, 1, 4185)}, 0.8221592778610165, 'baseline'), ({(13829, 1, 4185)}, 0.808439957298452, 'baseline'), ({(13829, 1, 4185)}, 0.8042499891535403, 'baseline'), ({(13829, 1, 4185)}, 0.7962258925183572, 'baseline'), ({(13829, 1, 4185)}, 0.7857313024910936, 'baseline'), ({(13829, 1, 4185)}, 0.7726980910184709, 'baseline'), ({(13829, 1, 4185)}, 0.69876031614485, 'baseline')]",1
2023.0,0.00016072318248916417,0.956963837146759,"[(6657, 1, 18566)]","(18566, 1, 6657)",[0.00016072318248916417],[2023],1,"[({(6657, 1, 18566)}, 0.9542317888940376, 'baseline'), ({(6657, 1, 18566)}, 0.7149641967197238, 'baseline')]",1
6163.0,3.52751521859318e-05,0.9941294193267822,"[(11565, 1, 29689)]","(29689, 1, 11565)",[3.52751521859318e-05],[6163],1,"[({(11565, 1, 29689)}, 0.9978146464763958, 'baseline')]",1
9052.0,5.806159242638387e-05,0.9594130516052246,"[(39790, 1, 137)]","(137, 1, 39790)",[5.806159242638387e-05],[9052],1,"[({(39790, 1, 137)}, 0.9114368451155505, 'baseline'), ({(39790, 1, 137)}, 0.8869079239542499, 'baseline'), ({(39790, 1, 137)}, 0.8841894156004217, 'baseline'), ({(39790, 1, 137)}, 0.8110018245914637, 'baseline'), ({(39790, 1, 137)}, 0.8040507308294167, 'baseline'), ({(39790, 1, 137)}, 0.6960176680072633, 'baseline'), ({(39790, 1, 137)}, 0.6681325881956949, 'baseline'), ({(39790, 1, 137)}, 0.6507048454489336, 'baseline'), ({(39790, 1, 137)}, 0.6028309305738306, 'baseline'), ({(39790, 1, 137)}, 0.5978689630487607, 'baseline')]",1
106.0,0.002554710255935788,0.9723116159439087,"[(20544, 1, 3291), (25943, 1, 3291), (25943, 1, 28902), (28902, 1, 20544), (3291, 1, 25943)]","(3291, 1, 20544)",[0.002554710255935788],[106],1,"[({(3291, 1, 25943), (25943, 1, 3291)}, 0.20714173783368586, 'baseline'), ({(3291, 1, 25943), (20544, 1, 3291)}, 0.18413464287341513, 'baseline'), ({(3291, 1, 25943)}, 0.05135391185565513, 'baseline'), ({(3291, 1, 25943)}, 0.047590116936789245, 'baseline'), ({(3291, 1, 25943)}, 0.042060355643999084, 'baseline'), ({(3291, 1, 25943)}, 0.03623066375570177, 'baseline'), ({(3291, 1, 25943)}, 0.03619627183668637, 'baseline'), ({(3291, 1, 25943), (2276, 0, 3291)}, 0.033903996417578616, 'baseline'), ({(3291, 1, 25943)}, 0.033795456356835195, 'baseline'), ({(3291, 1, 25943)}, 0.03331200312145865, 'baseline')]",5
513.0,0.0003303995472379029,0.9403150677680969,"[(2612, 1, 1848), (2612, 1, 26814), (13298, 1, 1848), (26814, 1, 13298), (1848, 1, 13298)]","(13298, 1, 26814)",[0.0003303995472379029],[513],1,"[({(26814, 1, 13298), (13298, 1, 1848), (1848, 1, 13298)}, 0.8740956072848255, 'baseline'), ({(26814, 1, 13298), (1848, 1, 13298)}, 0.5306909513012616, 'baseline'), ({(26814, 1, 13298), (13298, 1, 1848)}, 0.5079518386633902, 'baseline'), ({(26814, 1, 13298)}, 0.330766301733401, 'baseline'), ({(26814, 1, 13298), (13298, 1, 1848)}, 0.29091487439321756, 'baseline'), ({(13298, 1, 1848)}, 0.05495778751514746, 'baseline'), ({(1848, 1, 13298)}, 0.005385140816942948, 'baseline'), ({(13298, 1, 1848)}, -0.0814317063903059, 'baseline'), ({(13298, 1, 1848)}, -0.09350510401388096, 'baseline')]",5
2869.0,0.0001946578995557502,0.9245367050170898,"[(10452, 1, 5307), (5307, 1, 20104), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 2502)]","(2502, 1, 20104)",[0.0001946578995557502],[2869],1,"[({(10452, 1, 2502), (20104, 1, 2502), (2502, 1, 10452)}, 0.7469264727329746, 'baseline'), ({(10452, 1, 2502), (20104, 1, 2502), (2502, 1, 10452)}, 0.6267909847905433, 'baseline'), ({(20104, 1, 2502), (2502, 1, 10452)}, 0.535034818663932, 'baseline'), ({(20104, 1, 2502), (2502, 1, 10452)}, 0.5199872682937212, 'baseline'), ({(20104, 1, 2502), (2502, 1, 10452)}, 0.5186664293751619, 'baseline'), ({(20104, 1, 2502), (2502, 1, 10452)}, 0.5173656175690052, 'baseline'), ({(20104, 1, 2502), (2502, 1, 10452)}, 0.3882474718626937, 'baseline'), ({(2502, 1, 10452)}, -0.01529129318205952, 'baseline'), ({(2502, 1, 10452)}, -0.02437003424850126, 'baseline'), ({(2502, 1, 10452)}, -0.030094702739996648, 'baseline')]",5
81.0,0.001903696684166789,0.41509827971458435,"[(8389, 1, 8390), (14834, 1, 1690), (1690, 1, 14834), (8389, 1, 5110), (5110, 1, 28345), (28345, 1, 1690), (8390, 1, 14834)]","(14834, 1, 5110)",[0.001903696684166789],[81],1,"[({(1690, 1, 14834), (8390, 1, 14834)}, 0.2061075227268122, 'baseline'), ({(1690, 1, 14834), (8390, 1, 14834)}, 0.1909511194800508, 'baseline'), ({(1690, 1, 14834), (8390, 1, 14834)}, 0.18963630061287537, 'baseline'), ({(1690, 1, 14834), (8390, 1, 14834)}, 0.17581571201393548, 'baseline'), ({(1690, 1, 14834), (14834, 1, 1690)}, 0.17507458781379387, 'baseline'), ({(1690, 1, 14834), (8390, 1, 14834)}, 0.15218889268807761, 'baseline'), ({(1690, 1, 14834)}, 0.14375140815136375, 'baseline'), ({(1690, 1, 14834)}, 0.13371976759015752, 'baseline'), ({(1690, 1, 14834)}, 0.10196677135426133, 'baseline'), ({(1690, 1, 14834)}, 0.02543515984820118, 'baseline')]",7
26814.0,2.6752793928608298e-05,0.9296045303344727,"[(13633, 1, 4225)]","(4225, 1, 13633)",[2.6752793928608298e-05],[26814],1,"[({(13633, 1, 4225)}, 0.8380222198980052, 'baseline'), ({(13633, 1, 4225)}, 0.802702592906553, 'baseline'), ({(13633, 1, 4225)}, 0.7964762320114496, 'baseline'), ({(13633, 1, 4225)}, 0.7261877515005384, 'baseline'), ({(13633, 1, 4225)}, 0.6796865911010067, 'baseline')]",1
4012.0,2.4063221644610167e-05,0.09593500196933746,"[(4747, 5, 3149), (22951, 5, 3149)]","(4747, 0, 22951)",[2.4063221644610167e-05],[4012],1,"[({(4747, 5, 3149)}, 0.0008270113033104308, 'baseline')]",2
7210.0,3.1023948395159096e-05,0.9246744513511658,"[(20593, 1, 20592), (20593, 1, 25852), (20592, 6, 25852)]","(25852, 1, 20593)",[3.1023948395159096e-05],[7210],1,"[({(20593, 1, 25852)}, 0.9639817976931593, 'baseline'), ({(20593, 1, 25852)}, 0.8871408588648882, 'baseline'), ({(20592, 6, 25852)}, -0.025764365738914285, 'baseline')]",3
1.0,0.9389769434928894,0.9354263544082642,[],"(3453, 1, 18417)",[0.9389769434928894],[1],1,[],0
31106.0,1.1022564649465494e-05,0.8634375929832458,"[(6889, 0, 239), (33665, 1, 6889), (33665, 1, 22848), (22848, 0, 239)]","(22848, 1, 33665)",[1.1022564649465494e-05],[31106],1,"[({(33665, 1, 22848)}, 0.9638078116647357, 'baseline'), ({(33665, 1, 22848)}, 0.8707136396383476, 'baseline'), ({(33665, 1, 22848)}, 0.5873039204136224, 'baseline'), ({(33665, 1, 22848), (22848, 0, 239)}, 0.5662066177015536, 'baseline'), ({(33665, 1, 22848)}, 0.5368828011158779, 'baseline'), ({(33665, 1, 22848)}, 0.46661348393865265, 'baseline'), ({(22848, 0, 239)}, -0.01175471121963643, 'baseline')]",4
17943.0,3.407446638448164e-05,0.9404630661010742,"[(15527, 1, 5116), (15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (6422, 1, 15527), (6422, 1, 15028), (16314, 1, 15028), (15028, 1, 6422), (5116, 1, 15028), (21701, 1, 15028)]","(15028, 1, 5116)",[3.407446638448164e-05],[17943],1,"[({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (21701, 1, 15028)}, 0.8580107571228152, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028)}, 0.6269053661082212, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (6422, 1, 15028)}, 0.5312093925129252, 'baseline'), ({(15028, 1, 21701), (5116, 1, 15028), (21701, 1, 15028)}, 0.49985842189751456, 'baseline'), ({(15028, 1, 21701), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.38905630687681275, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.06930385063532649, 'baseline'), ({(15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.02780012316547494, 'baseline'), ({(15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.004763106751562669, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422)}, -0.006386120842497441, 'baseline'), ({(15028, 1, 21701), (15028, 1, 6422)}, -0.009278734242319326, 'baseline')]",11
4929.0,6.460514123318717e-05,0.9744139909744263,"[(19664, 1, 6144)]","(6144, 1, 19664)",[6.460514123318717e-05],[4929],1,"[({(19664, 1, 6144)}, 0.994750014003815, 'baseline')]",1
36598.0,5.416724889073521e-06,0.9725252389907837,"[(15106, 1, 15107)]","(15107, 1, 15106)",[5.416724889073521e-06],[36598],1,"[({(15106, 1, 15107)}, 0.9755373503943132, 'baseline')]",1
3180.0,0.00019593439355958253,0.9631841778755188,"[(10360, 1, 758)]","(758, 1, 10360)",[0.00019593439355958253],[3180],1,"[({(10360, 1, 758)}, 0.7849849927559883, 'baseline'), ({(10360, 1, 758)}, 0.697034523267337, 'baseline'), ({(10360, 1, 758)}, 0.6969457123122801, 'baseline'), ({(10360, 1, 758)}, 0.6765139550756488, 'baseline'), ({(10360, 1, 758)}, 0.6156358562077467, 'baseline'), ({(10360, 1, 758)}, 0.6153294287142431, 'baseline'), ({(10360, 1, 758)}, 0.6130487165430196, 'baseline'), ({(10360, 1, 758)}, 0.6062585553115019, 'baseline'), ({(10360, 1, 758)}, 0.6047942480296413, 'baseline'), ({(10360, 1, 758)}, 0.564802332293711, 'baseline')]",1
28228.0,1.6012456399039365e-05,0.9073452353477478,"[(10508, 1, 24179)]","(24179, 1, 10508)",[1.6012456399039365e-05],[28228],1,"[({(10508, 1, 24179)}, 0.9528754851452746, 'baseline'), ({(10508, 1, 24179)}, 0.8744142537051195, 'baseline'), ({(10508, 1, 24179)}, 0.7930164207134609, 'baseline'), ({(10508, 1, 24179)}, 0.6890446992999573, 'baseline'), ({(10508, 1, 24179)}, 0.6738572567522283, 'baseline'), ({(10508, 1, 24179)}, 0.5544407203314327, 'baseline')]",1
22475.0,2.0150033378740773e-05,0.9587638974189758,"[(9303, 1, 26071), (21981, 1, 26071), (21981, 0, 6139), (9303, 0, 6139), (21981, 9, 9303)]","(9303, 9, 21981)",[2.0150033378740773e-05],[22475],1,"[({(9303, 1, 26071), (9303, 0, 6139), (21981, 9, 9303)}, 0.9400066035979889, 'baseline'), ({(9303, 0, 6139), (21981, 9, 9303)}, 0.8749515299938745, 'baseline'), ({(9303, 1, 26071), (21981, 9, 9303)}, 0.8461291074139944, 'baseline'), ({(9303, 0, 6139), (21981, 9, 9303)}, 0.8394060609608053, 'baseline'), ({(21981, 9, 9303)}, 0.7866908180894289, 'baseline'), ({(21981, 9, 9303)}, 0.7756351099945437, 'baseline'), ({(9303, 0, 6139), (21981, 9, 9303)}, 0.7660814389470872, 'baseline'), ({(21981, 9, 9303)}, 0.6963095519723934, 'baseline'), ({(9303, 0, 6139), (21981, 9, 9303)}, 0.6315391505218001, 'baseline'), ({(21981, 9, 9303)}, 0.5397737456323491, 'baseline')]",5
123.0,0.00043024279875680804,0.28957507014274597,"[(21113, 5, 19257), (22365, 5, 9528), (33711, 0, 21113), (22365, 5, 19257), (33711, 5, 9528)]","(33711, 5, 19257)",[0.00043024279875680804],[123],1,"[({(33711, 5, 9528)}, 0.24280966404938628, 'baseline'), ({(33711, 0, 21113)}, -0.013029207495687544, 'baseline')]",5
14936.0,3.153644865960814e-05,0.9478031992912292,"[(33545, 1, 18247)]","(18247, 1, 33545)",[3.153644865960814e-05],[14936],1,"[({(33545, 1, 18247)}, 0.9802640584437202, 'baseline')]",1
7.0,0.015538431704044342,0.19860407710075378,"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]","(20115, 2, 2580)",[0.015538431704044342],[7],1,"[({(20114, 6, 20115)}, 0.3045519403470859, 'baseline')]",3
5527.0,8.020937093533576e-05,0.9537962079048157,"[(15927, 1, 23239), (708, 1, 15927), (15927, 0, 1786), (23239, 0, 708), (1786, 1, 23239), (23239, 1, 1786)]","(23239, 1, 15927)",[8.020937093533576e-05],[5527],1,"[({(15927, 1, 23239), (23239, 1, 1786)}, 0.8972563037420211, 'baseline'), ({(15927, 1, 23239), (23239, 0, 708)}, 0.832731055874228, 'baseline'), ({(15927, 1, 23239)}, 0.8230543608070929, 'baseline'), ({(15927, 1, 23239)}, 0.7840483056998441, 'baseline'), ({(15927, 1, 23239), (1786, 1, 23239)}, 0.7341392496600502, 'baseline'), ({(15927, 1, 23239)}, 0.7267901160779563, 'baseline'), ({(15927, 1, 23239), (23239, 1, 1786)}, 0.7196366048727804, 'baseline'), ({(23239, 1, 1786)}, -0.0028542476412367337, 'baseline'), ({(23239, 1, 1786)}, -0.019897242133371327, 'baseline'), ({(23239, 0, 708), (23239, 1, 1786)}, -0.023493309549854013, 'baseline')]",6
3991.0,0.0001958847133209929,0.926688015460968,"[(14307, 1, 16747), (16747, 0, 18054), (18054, 1, 13338), (14307, 0, 13338)]","(13338, 1, 18054)",[0.0001958847133209929],[3991],1,"[({(18054, 1, 13338)}, 0.9248681560367965, 'baseline'), ({(18054, 1, 13338)}, 0.9008569012301368, 'baseline'), ({(18054, 1, 13338)}, 0.8920126446246603, 'baseline'), ({(18054, 1, 13338), (14307, 0, 13338)}, 0.8809555655409768, 'baseline'), ({(18054, 1, 13338)}, 0.8779718165616719, 'baseline'), ({(18054, 1, 13338), (14307, 0, 13338)}, 0.8242798323162287, 'baseline'), ({(18054, 1, 13338)}, 0.8195546144270224, 'baseline'), ({(18054, 1, 13338), (35743, 0, 13338)}, 0.7341260770255836, 'baseline'), ({(18054, 1, 13338)}, 0.7149757004013061, 'baseline')]",4
1.0,0.9255614876747131,0.8343851566314697,[],"(865, 1, 17946)",[0.9255614876747131],[1],1,[],0
8562.0,1.0685936103982385e-05,0.9717803597450256,"[(2443, 1, 12141), (12141, 0, 3556), (1058, 0, 3556), (2443, 1, 1058)]","(12141, 1, 2443)",[1.0685936103982385e-05],[8562],1,"[({(2443, 1, 12141)}, 0.9919258863009673, 'baseline'), ({(12141, 0, 3556)}, -0.0022627907102215606, 'baseline')]",4
7766.0,1.1062972589570563e-05,0.9874051213264465,"[(19791, 9, 27198), (6242, 1, 19791), (27198, 9, 19791), (6242, 1, 27198)]","(27198, 1, 6242)",[1.1062972589570563e-05],[7766],1,"[({(19791, 9, 27198), (27198, 9, 19791), (6242, 1, 27198)}, 0.9959562928250613, 'baseline'), ({(27198, 9, 19791), (6242, 1, 27198)}, 0.9180558218075562, 'baseline'), ({(6242, 1, 27198)}, 0.8991598973275643, 'baseline'), ({(19791, 9, 27198), (6242, 1, 27198)}, 0.570885940034153, 'baseline'), ({(19791, 9, 27198)}, -0.0015026526911388076, 'baseline'), ({(19791, 9, 27198), (27198, 9, 19791)}, -0.0031779604472124807, 'baseline'), ({(27198, 9, 19791)}, -0.003355820716233676, 'baseline')]",4
14.0,0.0023534635547548532,0.04805701971054077,"[(33234, 2, 4090), (28149, 2, 4090), (28149, 2, 2524)]","(33234, 2, 2524)",[0.0023534635547548532],[14],1,"[({(33234, 2, 4090)}, 0.12055367522593653, 'baseline')]",3
182.0,0.00018505696789361537,0.9453070163726807,"[(19427, 1, 23137), (169, 1, 170), (169, 1, 19427), (170, 1, 18272), (23137, 1, 18272), (19427, 1, 18272), (18272, 1, 23137), (18272, 1, 170)]","(18272, 1, 19427)",[0.00018505696789361537],[182],1,"[({(19427, 1, 18272), (18272, 1, 170), (170, 1, 18272)}, 0.9301291600966102, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170), (18272, 1, 23137), (170, 1, 18272)}, 0.919321168839454, 'baseline'), ({(170, 1, 18272), (19427, 1, 18272), (18272, 1, 170), (23137, 1, 18272)}, 0.8833196646117808, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170), (170, 1, 18272)}, 0.8751444702358165, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170), (23137, 1, 18272)}, 0.5775111155655254, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170)}, 0.4837354845737045, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170)}, 0.46015049259567475, 'baseline'), ({(19427, 1, 18272), (18272, 1, 23137)}, 0.3143535666206791, 'baseline'), ({(19427, 1, 18272), (18272, 1, 170), (18272, 1, 23137)}, 0.11503950796639843, 'baseline'), ({(18272, 1, 170), (18272, 1, 23137)}, -0.03502019220062646, 'baseline')]",8
31355.0,1.0372726137575228e-05,0.72646164894104,"[(23961, 5, 6776)]","(23961, 0, 6776)",[1.0372726137575228e-05],[31355],1,"[({(23961, 5, 6776)}, 0.8191590183816566, 'baseline')]",1
2403.0,0.0003318921953905374,0.8955927491188049,"[(15159, 1, 3072)]","(3072, 1, 15159)",[0.0003318921953905374],[2403],1,"[({(15159, 1, 3072)}, 0.6671805827786292, 'baseline'), ({(15159, 1, 3072)}, 0.4664811019750238, 'baseline')]",1
1660.0,8.927310409490019e-05,0.94145667552948,"[(8643, 1, 7117), (7117, 9, 7118), (7049, 1, 7117), (7118, 1, 8643), (7118, 1, 25743), (7118, 9, 7117), (7049, 1, 7118), (25743, 1, 7117), (7117, 1, 25743)]","(7117, 1, 8643)",[8.927310409490019e-05],[1660],1,"[({(8643, 1, 7117), (7118, 9, 7117), (7117, 1, 25743), (25743, 1, 7117)}, 0.9239141836428617, 'baseline'), ({(8643, 1, 7117), (25743, 1, 7117), (7117, 1, 25743)}, 0.8449675320296817, 'baseline'), ({(8643, 1, 7117), (7117, 9, 7118), (7049, 1, 7117), (25743, 1, 7117)}, 0.735465453009662, 'baseline'), ({(8643, 1, 7117), (7117, 9, 7118), (7049, 1, 7117)}, 0.7270937421168097, 'baseline'), ({(7118, 9, 7117), (8643, 1, 7117), (7117, 9, 7118), (7049, 1, 7117)}, 0.6776487083073659, 'baseline'), ({(8643, 1, 7117), (25743, 1, 7117)}, 0.6312240803421647, 'baseline'), ({(8643, 1, 7117), (7049, 1, 7117)}, 0.624522968442141, 'baseline'), ({(8643, 1, 7117), (7117, 9, 7118), (25743, 1, 7117)}, 0.567794783537605, 'baseline'), ({(8643, 1, 7117), (7118, 9, 7117), (7049, 1, 7117), (25743, 1, 7117)}, 0.5265925954749038, 'baseline'), ({(7117, 1, 25743), (8643, 1, 7117), (7118, 9, 7117), (7049, 1, 7117)}, 0.5180376599551713, 'baseline')]",9
12462.0,6.462448800448328e-05,0.9172292351722717,"[(5175, 0, 5176), (32633, 0, 5176), (5175, 1, 6813), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]","(6813, 1, 5175)",[6.462448800448328e-05],[12462],1,"[({(32633, 1, 6813), (6813, 1, 32633), (5175, 1, 6813)}, 0.7171152687944303, 'baseline'), ({(32633, 1, 6813), (6813, 1, 32633), (5175, 1, 6813)}, 0.6766862124759007, 'baseline'), ({(6813, 1, 32633), (5175, 1, 6813)}, 0.41868160370917085, 'baseline'), ({(6813, 1, 32633), (5175, 1, 6813)}, 0.2928782514274506, 'baseline'), ({(5176, 1, 6813), (6813, 1, 32633), (5175, 1, 6813)}, 0.28835747746975915, 'baseline'), ({(32633, 1, 6813), (6813, 1, 32633)}, 0.2040165470642101, 'baseline'), ({(32633, 1, 6813), (6813, 1, 32633)}, 0.1754181191974778, 'baseline'), ({(6813, 1, 32633), (5175, 1, 6813)}, 0.16454205965061172, 'baseline'), ({(6813, 1, 32633), (5175, 1, 6813)}, 0.11246554097941269, 'baseline'), ({(5176, 1, 6813), (6813, 1, 32633)}, -0.017484744097006236, 'baseline')]",6
12156.0,7.154716877266765e-05,0.9331414699554443,"[(4665, 1, 4666)]","(4666, 1, 4665)",[7.154716877266765e-05],[12156],1,"[({(4665, 1, 4666)}, 0.8468649863501742, 'baseline'), ({(4665, 1, 4666)}, 0.7686896786192149, 'baseline'), ({(4665, 1, 4666)}, 0.7093235707046797, 'baseline'), ({(4665, 1, 4666)}, 0.6744800060914171, 'baseline'), ({(4665, 1, 4666)}, 0.6370820249172381, 'baseline'), ({(4665, 1, 4666)}, 0.6040498455568525, 'baseline'), ({(4665, 1, 4666)}, 0.5668735937116374, 'baseline'), ({(4665, 1, 4666)}, 0.5378250313544802, 'baseline'), ({(4665, 1, 4666)}, 0.44247586752083873, 'baseline')]",1
1.0,0.9784570932388306,0.9786085486412048,[],"(11813, 1, 30361)",[0.9784570932388306],[1],1,[],0
12.0,0.004657167475670576,0.8748989105224609,"[(10271, 1, 42), (11366, 1, 42), (4958, 1, 10271), (26527, 1, 11366), (10271, 1, 26527), (4958, 1, 11366), (11366, 1, 4958)]","(11366, 1, 26527)",[0.004657167475670576],[12],1,"[({(26527, 1, 11366), (11366, 1, 42)}, 0.713849351453286, 'baseline'), ({(26527, 1, 11366), (11366, 1, 42)}, 0.6961430761566406, 'baseline'), ({(26527, 1, 11366), (4958, 1, 11366), (11366, 1, 42)}, 0.6938181969470409, 'baseline'), ({(26527, 1, 11366), (11366, 1, 4958)}, 0.6349342311257127, 'baseline'), ({(26527, 1, 11366), (11366, 1, 4958), (11366, 1, 42)}, 0.46533320596203365, 'baseline'), ({(11366, 1, 4958), (11366, 1, 42)}, 0.0424318713936524, 'baseline'), ({(11366, 1, 4958), (11366, 1, 42)}, 0.006804685066579881, 'baseline'), ({(11366, 1, 4958), (11366, 1, 42)}, 0.0017783445798817872, 'baseline'), ({(11366, 1, 4958), (11366, 1, 42)}, -0.01548739249038655, 'baseline'), ({(11366, 1, 4958), (11366, 1, 42)}, -0.05167718700349544, 'baseline')]",7
2036.0,0.000161112766363658,0.9501182436943054,"[(22618, 1, 699)]","(699, 1, 22618)",[0.000161112766363658],[2036],1,"[({(22618, 1, 699)}, 0.9624935888237712, 'baseline')]",1
