original_score,original_rank,facts,new_scores,exp,prediction,exp_length,new_rank,new_ranks,new_score
8.6875305,1,"[({(6752, 1, 3450), (13763, 1, 3450), (3450, 1, 13763)}, 1.4872441957016924, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (13763, 1, 3450), (3450, 1, 13763)}, 1.4820633597633583, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763), (13763, 1, 3450)}, 1.455267017687169, 'baseline'), ({(6752, 1, 3450), (3450, 1, 13763)}, 1.3821058897139822, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (13968, 1, 3450), (3450, 1, 13763)}, 1.3458195343117652, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763)}, 1.340868057038706, 'baseline'), ({(6752, 1, 3450), (19171, 0, 3450), (3450, 1, 13763)}, 1.3214722281034514, 'baseline'), ({(3450, 1, 15388), (6752, 1, 3450), (13968, 1, 3450), (3450, 1, 13763)}, 1.291423856749288, 'baseline'), ({(6752, 1, 3450), (3450, 1, 15388), (3450, 1, 13763)}, 1.2576952561159422, 'baseline'), ({(6752, 1, 3450), (3450, 1, 12980), (3450, 1, 15388), (3450, 1, 13763)}, 1.224845943238682, 'baseline')]",[3.306253],"[(13763, 1, 2604), (3450, 1, 13763), (6752, 1, 3450), (6752, 1, 2604), (13763, 1, 3450)]","(3450, 1, 6752)",5,16.0,[16],3.306253
8.870047,1,"[({(1287, 1, 18173), (23932, 1, 18173)}, 4.275698448043939, 'baseline'), ({(1287, 1, 18173)}, 2.734903987258514, 'baseline'), ({(1287, 1, 18173)}, 2.603176272698727, 'baseline'), ({(23932, 1, 18173)}, 0.04913620182303801, 'baseline')]",[-0.7182724],"[(1287, 1, 18173), (23932, 1, 18173), (406, 1, 23932), (1287, 1, 406)]","(18173, 1, 1287)",4,20277.0,[20277],-0.7182724
8.515327,1,"[({(17826, 3, 14917), (14917, 3, 17825)}, 2.174474825239134, 'baseline'), ({(17826, 3, 14917), (14917, 3, 17825)}, 2.1050716478716884, 'baseline'), ({(17826, 3, 14917), (14917, 3, 17825)}, 2.0425210982582596, 'baseline'), ({(17826, 3, 14917)}, 1.550883362473587, 'baseline'), ({(17826, 3, 14917)}, 1.549109051248064, 'baseline'), ({(17826, 3, 14917)}, 1.4991179182242247, 'baseline'), ({(17826, 3, 14917)}, 1.4966645910294119, 'baseline'), ({(17826, 3, 14917)}, 1.4719320002511935, 'baseline'), ({(17826, 3, 14917)}, 1.371906342503569, 'baseline'), ({(17826, 3, 14917)}, 1.346543373132026, 'baseline')]",[0.55462575],"[(17826, 3, 17825), (17826, 3, 14917), (14917, 3, 17825)]","(14917, 3, 17826)",3,706.0,[706],0.55462575
8.571083,1,"[({(1019, 4, 28305)}, 5.472718732849443, 'baseline')]",[2.8534691],"[(1019, 4, 39576), (1019, 4, 28305), (39576, 0, 3141)]","(28305, 0, 3141)",3,26.0,[26],2.8534691
7.647258,1,"[({(4747, 5, 3149)}, 10.38888355347207, 'baseline')]",[-1.688462],"[(4747, 5, 3149), (22951, 5, 3149)]","(4747, 0, 22951)",2,4601.0,[4601],-1.688462
9.101814,1,"[({(9037, 1, 26613)}, 4.965049290459993, 'baseline'), ({(9037, 1, 26613)}, 3.702782579823611, 'baseline'), ({(9037, 1, 26613)}, 3.694446509192479, 'baseline'), ({(9037, 1, 26613)}, 3.4442676067055342, 'baseline'), ({(9037, 1, 26613)}, 3.0730097274310095, 'baseline'), ({(9037, 1, 26613)}, 2.6795641656846674, 'baseline'), ({(9037, 1, 26613)}, 2.5365392248181418, 'baseline')]",[0.23091093],"[(9037, 1, 26613)]","(26613, 1, 9037)",1,3557.0,[3557],0.23091093
9.88568,1,"[({(7315, 0, 15497), (2938, 1, 15497)}, 3.502260560244116, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 3.4905532508072947, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 3.0416271601215037, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.9080006730492913, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.862685876090067, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.8251392348102145, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.538471846217861, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.46471895711726, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.419830455588393, 'baseline'), ({(7315, 0, 15497), (2938, 1, 15497)}, 2.40475000197692, 'baseline')]",[1.5765591],"[(5712, 0, 2938), (7315, 1, 5712), (7315, 0, 15497), (2938, 1, 15497)]","(15497, 1, 2938)",4,156.0,[156],1.5765591
7.876352,1,"[({(5862, 1, 14121)}, 1.717003899839, 'baseline'), ({(5862, 1, 14121)}, 1.5529952742986857, 'baseline')]",[-0.44334373],"[(5862, 1, 14121)]","(14121, 1, 5862)",1,22771.0,[22771],-0.44334373
8.77287,1,"[({(1038, 4, 39279)}, 11.377097941626898, 'baseline')]",[6.662071],"[(20385, 0, 184), (1038, 4, 39279), (1038, 4, 20385)]","(39279, 0, 184)",3,6.0,[6],6.662071
9.075606,1,"[({(7514, 1, 3331), (21485, 1, 7514), (7514, 1, 21485), (25165, 1, 7514)}, 1.2083588210832272, 'baseline'), ({(7514, 1, 3331), (3331, 1, 7514), (7514, 1, 21485), (25165, 1, 7514)}, 1.1470594952644775, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9253263965713994, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9153461945749755, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.90861420748716, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9029541502899622, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.9023151884496768, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8975639829443062, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8934631833028376, 'baseline'), ({(7514, 1, 3331), (7514, 1, 21485), (25165, 1, 7514)}, 0.8923893459833526, 'baseline')]",[2.292901],"[(5598, 1, 3331), (5598, 1, 21485), (7514, 1, 3331), (7514, 1, 21485), (21485, 1, 7514), (25165, 1, 5598), (25165, 1, 7514)]","(7514, 1, 25165)",7,30.0,[30],2.292901
9.27175,1,"[({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (21701, 1, 15028)}, 1.181199129405232, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028)}, 0.7179346538486979, 'baseline'), ({(16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)}, 0.7139168238668346, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (15028, 1, 6422)}, 0.6815996618520043, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028), (6422, 1, 15028)}, 0.679096266743491, 'baseline'), ({(16314, 1, 15028), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.678391501362159, 'baseline'), ({(16314, 1, 15028), (21701, 1, 15028), (5116, 1, 15028), (6422, 1, 15028)}, 0.6760378331400451, 'baseline'), ({(16314, 1, 15028), (15028, 1, 21701), (5116, 1, 15028)}, 0.6054487666419394, 'baseline'), ({(16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)}, 0.6006699045751355, 'baseline'), ({(15028, 1, 21701), (21701, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)}, 0.5166035125776341, 'baseline')]",[7.4109125],"[(15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]","(15028, 1, 5116)",7,1.0,[1],7.4109125
9.564367,1,"[({(5782, 1, 6726)}, 0.7091360544646822, 'baseline'), ({(5782, 1, 6726)}, 0.691611334977131, 'baseline'), ({(5782, 1, 6726)}, 0.6425419296244679, 'baseline'), ({(5782, 1, 6726)}, 0.6360063994733747, 'baseline'), ({(5782, 1, 6726)}, 0.6359539473873179, 'baseline'), ({(5782, 1, 6726)}, 0.6043711146348305, 'baseline'), ({(5782, 1, 6726)}, 0.5963859994584851, 'baseline'), ({(5782, 1, 6726)}, 0.5718565420478909, 'baseline'), ({(5782, 1, 6726)}, 0.5458288623087194, 'baseline'), ({(5782, 1, 6726)}, 0.5446615649608566, 'baseline')]",[0.33652395],"[(5782, 1, 6726)]","(6726, 1, 5782)",1,3462.0,[3462],0.33652395
10.27132,1,"[({(5329, 1, 12530)}, 5.646607391180238, 'baseline'), ({(5329, 1, 12530)}, 3.6638335519725187, 'baseline')]",[0.24322714],"[(5329, 1, 12530)]","(12530, 1, 5329)",1,911.0,[911],0.24322714
10.40897,1,"[({(14159, 1, 40286)}, 6.316315010999121, 'baseline')]",[-0.88838065],"[(14159, 1, 40286)]","(40286, 1, 14159)",1,7869.0,[7869],-0.88838065
10.314679,1,"[({(26785, 0, 17167), (7703, 1, 26785)}, 11.619010487346765, 'baseline'), ({(7703, 1, 26785)}, 4.2271616360393125, 'baseline'), ({(26785, 0, 17167)}, -0.4836616092258507, 'baseline')]",[-0.36085165],"[(26785, 0, 17167), (707, 1, 7703), (7703, 1, 26785), (707, 0, 17167)]","(26785, 1, 7703)",4,3606.0,[3606],-0.36085165
8.925503,1,"[({(7329, 1, 5855), (5855, 1, 28317)}, 0.7330465773151928, 'baseline'), ({(11474, 0, 5855), (5855, 1, 28317)}, 0.01399234956739735, 'baseline'), ({(5855, 1, 28317)}, -0.011226614036461776, 'baseline'), ({(28317, 1, 5855), (5855, 1, 28317)}, -0.048681219140092054, 'baseline'), ({(5855, 1, 28317)}, -0.07681651879179138, 'baseline'), ({(5855, 1, 28317)}, -0.08004470635149347, 'baseline'), ({(5855, 1, 28317)}, -0.08919425770568781, 'baseline'), ({(5855, 1, 28317)}, -0.11344524184763609, 'baseline'), ({(5855, 1, 28317)}, -0.11642356672139567, 'baseline'), ({(5855, 1, 28317)}, -0.14135833535292905, 'baseline')]",[5.4346733],"[(28317, 0, 7329), (7329, 1, 5855), (5855, 1, 28317)]","(5855, 1, 7329)",3,9.0,[9],5.4346733
9.050512,1,"[({(30984, 0, 957), (6485, 1, 30984)}, 2.6311337159342596, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.6133667609924625, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.241563912220751, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.2179595169879094, 'baseline'), ({(30984, 0, 957), (6485, 1, 30984)}, 2.1814700269418825, 'baseline'), ({(6485, 1, 30984)}, 0.9773245361271083, 'baseline'), ({(6485, 1, 30984)}, 0.8753452782570192, 'baseline'), ({(6485, 1, 30984)}, 0.8388548372162286, 'baseline'), ({(6485, 1, 30984)}, 0.786779450226543, 'baseline'), ({(30984, 0, 957)}, -0.21967025524838935, 'baseline')]",[1.7664051],"[(957, 1, 6485), (30984, 0, 957), (6485, 1, 30984)]","(30984, 1, 6485)",3,47.0,[47],1.7664051
8.869197,1,"[({(29963, 2, 1137)}, 9.43367015565907, 'baseline'), ({(29963, 2, 1137)}, 5.850205576318439, 'baseline')]",[5.843639],"[(1137, 5, 774), (29963, 2, 1137)]","(29963, 5, 774)",2,1.0,[1],5.843639
8.604788,1,"[({(2573, 1, 17030), (17030, 1, 13110)}, 2.751958070718457, 'baseline'), ({(2573, 1, 17030)}, 2.5550586287568864, 'baseline'), ({(17030, 1, 13110)}, -0.31346603108464693, 'baseline'), ({(13110, 1, 17030)}, -0.31417556476259145, 'baseline')]",[1.7095401],"[(2573, 1, 17030), (2573, 0, 2574), (17030, 1, 13110), (13110, 0, 2574)]","(17030, 1, 2573)",4,70.0,[70],1.7095401
8.1901455,1,"[({(20114, 6, 20115)}, 8.240134011872255, 'baseline'), ({(20114, 6, 20115)}, 1.9145518242296435, 'baseline')]",[6.4061413],"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]","(20115, 2, 2580)",3,1.0,[1],6.4061413
10.975729,1,"[({(18271, 1, 3741)}, 4.503165691737374, 'baseline'), ({(18271, 1, 3741)}, 2.7246705832847953, 'baseline'), ({(18271, 1, 3741)}, 2.238618011954583, 'baseline'), ({(18271, 1, 3741)}, 1.8716889293643326, 'baseline'), ({(18271, 1, 3741)}, 1.8234530330498608, 'baseline'), ({(18271, 1, 3741)}, 1.7488871412592457, 'baseline'), ({(18271, 1, 3741)}, 1.6673537049411573, 'baseline'), ({(18271, 1, 3741)}, 1.3993206654431418, 'baseline'), ({(18271, 1, 3741)}, 1.2741013158800292, 'baseline'), ({(18271, 1, 3741)}, 1.2724705327039965, 'baseline')]",[-1.3876638],"[(18271, 1, 3741)]","(3741, 1, 18271)",1,22197.0,[22197],-1.3876638
8.390123,1,"[({(7531, 1, 7532)}, 1.8874450605014916, 'baseline'), ({(7531, 1, 7532)}, 1.787390790302112, 'baseline'), ({(7531, 1, 7532)}, 1.7594347798081578, 'baseline'), ({(7531, 1, 7532)}, 1.5828448048825638, 'baseline'), ({(7531, 1, 7532)}, 1.5201817237994253, 'baseline')]",[-0.10044685],"[(7531, 1, 7532)]","(7532, 1, 7531)",1,8043.0,[8043],-0.10044685
9.191784,1,"[({(9610, 1, 1771), (36226, 1, 1771)}, 0.4696436350932111, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.4520206872289172, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.44091801071687764, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43408874890063814, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43271355051200777, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.43209175482856516, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.4308519782484528, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.40913872122617245, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.3963804661056957, 'baseline'), ({(9610, 1, 1771), (36226, 1, 1771)}, 0.3875647006539765, 'baseline')]",[-3.377842],"[(9610, 0, 9611), (36226, 0, 9611), (9610, 1, 1771), (36226, 1, 1771)]","(1771, 1, 36226)",4,40809.0,[40809],-3.377842
10.239602,1,"[({(9971, 1, 6882), (6882, 0, 6883), (10563, 9, 6882), (6882, 1, 9971)}, 11.37333574644977, 'baseline'), ({(9971, 1, 6882), (10563, 9, 6882), (6882, 1, 9971)}, 4.866602308571166, 'baseline'), ({(9971, 1, 6882), (6882, 0, 6883), (10563, 9, 6882)}, 1.6564894465614892, 'baseline'), ({(6882, 0, 6883), (10563, 9, 6882)}, 1.6532784249754071, 'baseline'), ({(6882, 0, 6883), (10563, 9, 6882), (6882, 1, 9971)}, 1.6517887855984568, 'baseline'), ({(10563, 9, 6882), (6882, 1, 9971)}, 1.5441580508398762, 'baseline'), ({(9971, 1, 6882), (10563, 9, 6882)}, 1.5412445756907012, 'baseline'), ({(10563, 9, 6882)}, 1.3925572068666292, 'baseline'), ({(9971, 1, 6882), (6882, 1, 9971)}, 0.024462739886757946, 'baseline'), ({(9971, 1, 6882)}, -0.13327499185110678, 'baseline')]",[-3.089445],"[(10563, 1, 2955), (10563, 9, 6882), (10563, 1, 9971), (6883, 1, 2955), (6882, 0, 6883), (9971, 1, 6882), (6882, 1, 9971)]","(6882, 9, 10563)",7,22311.0,[22311],-3.089445
7.0875874,1,"[({(27614, 0, 28580)}, 1.2990288135985217, 'baseline')]",[5.735858],"[(27614, 5, 172), (27614, 0, 28580)]","(28580, 5, 172)",2,1.0,[1],5.735858
9.401691,1,"[({(28165, 1, 40453)}, 11.620920026172994, 'baseline')]",[-1.267232],"[(28165, 1, 40453)]","(40453, 1, 28165)",1,8237.0,[8237],-1.267232
9.251232,1,"[({(14574, 1, 21645), (21645, 1, 14574), (21645, 1, 32962), (16026, 1, 21645)}, 1.929538817147687, 'baseline'), ({(14574, 1, 21645), (21645, 1, 32962), (32962, 1, 21645), (16026, 1, 21645)}, 1.3251515037676584, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574), (32962, 1, 21645), (16026, 1, 21645)}, 1.3226385718735432, 'baseline'), ({(21645, 1, 32962), (32962, 1, 21645), (16026, 1, 21645)}, 1.3224239951510228, 'baseline'), ({(21645, 1, 14574), (16026, 1, 21645)}, 0.9419184226702696, 'baseline'), ({(21645, 1, 14574), (32962, 1, 21645), (16026, 1, 21645)}, 0.7981024255655886, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574), (16026, 1, 21645)}, 0.7971840371781124, 'baseline'), ({(14574, 1, 21645), (21645, 1, 32962), (16026, 1, 21645)}, 0.7963476647640937, 'baseline'), ({(21645, 1, 32962), (16026, 1, 21645)}, 0.7906465996268731, 'baseline'), ({(21645, 1, 32962), (21645, 1, 14574)}, -0.3542556349729868, 'baseline')]",[4.114066],"[(16026, 0, 3818), (16026, 1, 19508), (16026, 1, 21645), (19508, 1, 32962), (21645, 1, 14574), (14574, 1, 21645), (21645, 1, 32962), (14574, 0, 3818)]","(21645, 1, 16026)",8,13.0,[13],4.114066
9.526362,1,"[({(13752, 1, 11251)}, 4.083378451690376, 'baseline'), ({(13752, 1, 11251)}, 4.075182569798328, 'baseline'), ({(13752, 1, 11251)}, 2.408649576704291, 'baseline'), ({(13752, 1, 11251)}, 2.2904015785841385, 'baseline'), ({(13752, 1, 11251)}, 2.279558300505041, 'baseline')]",[0.12956762],"[(13752, 1, 11251)]","(11251, 1, 13752)",1,1937.0,[1937],0.12956762
10.44846,1,"[({(11702, 1, 26645)}, 5.603516928027346, 'baseline'), ({(11702, 1, 26645)}, 2.079753977062925, 'baseline'), ({(26645, 5, 129)}, -0.22722812416488447, 'baseline')]",[-0.23190087],"[(11702, 1, 26645)]","(26645, 1, 11702)",1,3363.0,[3363],-0.23190087
7.7001705,1,"[({(23887, 6, 31376), (12272, 6, 31376), (10052, 6, 31376)}, 7.782435107807749, 'baseline'), ({(23887, 6, 31376), (10052, 6, 31376)}, 1.7147975741205699, 'baseline'), ({(23887, 6, 31376), (12272, 6, 31376)}, 1.3769608165451195, 'baseline'), ({(23887, 6, 31376)}, 1.0762687256661247, 'baseline'), ({(10052, 6, 31376), (12272, 6, 31376)}, 0.32381490996152235, 'baseline'), ({(10052, 6, 31376)}, 0.12671760758721762, 'baseline'), ({(12272, 6, 31376)}, -0.17350765013526334, 'baseline')]",[6.0352006],"[(32045, 2, 743), (12272, 6, 33423), (23887, 6, 32045), (23887, 6, 31376), (10052, 6, 31376), (33423, 2, 743), (12272, 6, 31376), (10052, 6, 33423)]","(31376, 2, 743)",8,11.0,[11],6.0352006
9.64728,1,"[({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394), (19801, 0, 5394)}, 2.0782280979767433, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.8319931870431663, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.684557036799218, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6735258853741672, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6676884446476548, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6459275029984197, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6251679194743813, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6150160558869306, 'baseline'), ({(19801, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.611510348872375, 'baseline'), ({(13722, 0, 5394), (2601, 1, 5394), (20358, 0, 5394)}, 1.6103401904380656, 'baseline')]",[0.18411231],"[(15112, 1, 13722), (13722, 0, 5394), (19801, 1, 19802), (20358, 1, 20359), (20358, 0, 5394), (20359, 0, 2601), (2601, 1, 5394), (15112, 0, 2601), (19801, 0, 5394), (19802, 0, 2601)]","(5394, 1, 2601)",10,2351.0,[2351],0.18411231
9.984545,1,"[({(2617, 1, 11144), (11144, 0, 21098)}, 11.370128722895142, 'baseline'), ({(2617, 1, 11144)}, 1.8283835295428252, 'baseline'), ({(11144, 0, 21098)}, -0.10830684467311966, 'baseline')]",[-2.512693],"[(2617, 1, 11144), (11144, 0, 21098), (21097, 1, 21098), (2617, 0, 21097)]","(11144, 1, 2617)",4,17105.0,[17105],-2.512693
9.006329,1,"[({(8153, 1, 10925), (12946, 1, 10925)}, 5.409812798706697, 'baseline'), ({(8153, 1, 10925)}, 2.617432275214876, 'baseline'), ({(8153, 1, 10925)}, 2.245944615528751, 'baseline'), ({(12946, 1, 10925)}, 0.05919746585102212, 'baseline')]",[0.38698],"[(8153, 1, 10925), (12946, 1, 10925), (9917, 1, 8153), (9917, 1, 12946)]","(10925, 1, 8153)",4,777.0,[777],0.38698
6.798723,1,"[({(15171, 1, 12999), (12999, 1, 15171)}, 4.276040817291763, 'baseline'), ({(15171, 1, 12999)}, 0.6255469762817228, 'baseline'), ({(12999, 1, 15171)}, 0.6216288052742442, 'baseline')]",[-0.08785567],"[(12999, 1, 15171), (15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]","(12999, 1, 15729)",4,2459.0,[2459],-0.08785567
9.567928,1,"[({(19910, 9, 8634)}, 3.515860437521252, 'baseline')]",[0.7935982],"[(19910, 9, 8634)]","(8634, 9, 19910)",1,477.0,[477],0.7935982
9.348708,1,"[({(32633, 1, 6813), (6813, 1, 32633), (32633, 0, 5176), (5596, 1, 32633)}, 10.877393076622123, 'baseline'), ({(32633, 1, 6813), (32633, 0, 5176), (5596, 1, 32633)}, 2.6258994737868364, 'baseline'), ({(32633, 0, 5176), (5596, 1, 32633)}, 2.6224176084125497, 'baseline'), ({(6813, 1, 32633), (32633, 0, 5176), (5596, 1, 32633)}, 2.6189166694803916, 'baseline'), ({(32633, 1, 6813), (6813, 1, 32633), (5596, 1, 32633)}, 2.54217162620928, 'baseline'), ({(5596, 1, 32633)}, 1.6206751595005502, 'baseline'), ({(32633, 1, 6813), (5596, 1, 32633)}, 1.5491657948639252, 'baseline'), ({(6813, 1, 32633), (5596, 1, 32633)}, 1.5433865282864518, 'baseline'), ({(32633, 0, 5176)}, 0.0022249621667344774, 'baseline'), ({(32633, 1, 6813), (32633, 0, 5176)}, -0.533857302653982, 'baseline')]",[-2.02106],"[(5176, 1, 5596), (32633, 0, 5176), (5596, 1, 32633), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]","(32633, 1, 5596)",6,13469.0,[13469],-2.02106
6.9597425,1,"[({(8525, 4, 21505)}, 5.345688077271449, 'baseline')]",[5.107567],"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]","(21505, 0, 296)",3,20.0,[20],5.107567
7.0187235,1,"[({(25496, 0, 25497)}, 8.808676888685573, 'baseline')]",[-0.45550364],"[(25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497)]","(25496, 0, 5310)",3,2194.0,[2194],-0.45550364
9.827701,1,"[({(36188, 1, 20727), (20727, 1, 36188), (4691, 1, 36188)}, 10.8731013671524, 'baseline'), ({(36188, 1, 20727), (20727, 1, 36188), (4691, 1, 36188)}, 4.141348534632987, 'baseline'), ({(36188, 1, 20727), (4691, 1, 36188)}, 1.3549261706609388, 'baseline'), ({(20727, 1, 36188), (4691, 1, 36188)}, 1.3520250933244047, 'baseline'), ({(4691, 1, 36188)}, 1.3507414475798643, 'baseline'), ({(20727, 1, 36188), (4691, 1, 36188)}, 1.0535746142169968, 'baseline'), ({(36188, 1, 20727), (4691, 1, 36188)}, 1.0531349703825834, 'baseline'), ({(4691, 1, 36188)}, 0.9567652247416728, 'baseline'), ({(36188, 1, 20727)}, -0.17041869902694914, 'baseline')]",[-3.3789282],"[(4691, 1, 36188), (4691, 0, 4692), (20727, 0, 4692), (36188, 1, 20727), (20727, 1, 36188)]","(36188, 1, 4691)",5,31498.0,[31498],-3.3789282
8.305224,1,"[({(9012, 0, 2536)}, 8.495271018397517, 'baseline')]",[2.6416306],"[(9012, 0, 2536), (2536, 5, 7786)]","(9012, 5, 7786)",2,244.0,[244],2.6416306
9.469548,1,"[({(16736, 1, 7605), (7606, 1, 7605), (7605, 1, 7606)}, 5.141494573135414, 'baseline'), ({(16736, 1, 7605)}, 2.597772753401021, 'baseline'), ({(16736, 1, 7605), (7605, 1, 7606)}, 2.5942603702767166, 'baseline'), ({(16736, 1, 7605), (7605, 1, 7606)}, 1.9407206492421925, 'baseline'), ({(16736, 1, 7605), (7606, 1, 7605)}, 1.938458533599271, 'baseline'), ({(16736, 1, 7605)}, 1.895258037883981, 'baseline'), ({(7606, 1, 7605)}, -0.32428546614077025, 'baseline'), ({(7605, 1, 7606)}, -0.32973857583669847, 'baseline'), ({(7605, 1, 7606)}, -0.6524838957011313, 'baseline')]",[-2.6631944],"[(7605, 1, 7606), (16736, 1, 7605), (7606, 1, 7605), (16736, 1, 7606)]","(7605, 1, 16736)",4,27977.0,[27977],-2.6631944
9.327404,1,"[({(14493, 1, 37743), (37743, 0, 25874)}, 10.801783458002804, 'baseline'), ({(14493, 1, 37743), (37743, 0, 25874)}, 3.808675283580008, 'baseline'), ({(14493, 1, 37743)}, 3.118537672672482, 'baseline'), ({(14493, 1, 37743)}, 2.2295199580398077, 'baseline'), ({(37743, 0, 25874)}, -0.2165965629482028, 'baseline'), ({(37743, 0, 25874)}, -0.8225335603373944, 'baseline')]",[-0.8050723],"[(14493, 1, 37743), (14493, 1, 25874), (37743, 0, 25874)]","(37743, 1, 14493)",3,6242.0,[6242],-0.8050723
10.549395,1,"[({(2944, 9, 2945), (2945, 0, 203)}, 11.16754995356278, 'baseline'), ({(2944, 9, 2945)}, 2.737439330761382, 'baseline'), ({(2945, 0, 203)}, -0.41884513494347136, 'baseline')]",[-11.2444935],"[(2944, 9, 2945), (2944, 0, 203), (2945, 0, 203)]","(2945, 9, 2944)",3,40646.0,[40646],-11.2444935
